Metric,Simple_Train,Simple_Test,Multiple_Train,Multiple_Test
R2,0.398140386679532,0.3962865088697235,0.6420484337364561,0.6241786277437548
MSE,0.5247801585307561,0.5054906495079728,0.31210912899399684,0.31467607126870073
RMSE,0.7244171163982502,0.7109786561550022,0.5586672793300113,0.560959955138244
MAE,0.5597452777852205,0.5489418221740334,0.4240003308691832,0.42456784563319555
CV_R2_Mean,0.3977516950108123,0.3977516950108123,0.6413489842132061,0.6413489842132061
CV_R2_Std,0.017091677044984696,0.017091677044984696,0.018356907654812845,0.018356907654812845
