id,category,doc_word_count,ref_word_count,summary_words,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,word_compression_pct,length_compliant,latency_seconds
DOC_005,Cybersecurity & Cloud Systems,129,30,58,0.3333,0.6061,0.4301,0.1017,0.1875,0.1319,0.1833,0.3333,0.2366,0.8199,0.8514,0.8354,55.04,True,2.954
DOC_004,Biomedical Engineering,129,28,47,0.36,0.5455,0.4337,0.2449,0.375,0.2963,0.32,0.4848,0.3855,0.8399,0.8545,0.8471,63.57,True,2.668
DOC_007,Environmental Science & Remote Sensing,132,26,48,0.2449,0.375,0.2963,0.0208,0.0323,0.0253,0.102,0.1562,0.1235,0.8049,0.8139,0.8094,63.64,True,2.298
