epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3787,1.04501,2.09243,1.21809,0.84846,0.68571,0.82297,0.61283,0.83795,2.31475,1.04181,0.000622222,0.000622222,0.000622222
2,97.6025,1.10329,1.41062,1.2838,0.71652,0.7,0.75103,0.4871,1.1963,2.11559,1.22903,0.00103369,0.00103369,0.00103369
3,144.58,1.07203,1.39334,1.25903,0.89344,0.83851,0.8474,0.5582,1.23015,1.80836,1.36817,0.00118116,0.00118116,0.00118116
4,191.468,1.09967,1.38189,1.25519,0.90617,0.82783,0.89406,0.62216,1.11389,1.59051,1.24642,0.000812,0.000812,0.000812
5,236.858,0.9218,1.21961,1.1375,0.95286,0.88571,0.93238,0.74537,0.78072,1.43704,1.00298,0.000416,0.000416,0.000416
